strain,temperature_C,medium,NaCl_pct,PCS_type,PCS_conc_pct,mu_max,lag_h,ymax,r2,se,experiment,species,growth,sqrt_mu_max
A_media,4,SJ,0.0,,0.0,0.019,31.6,8.81,0.94,0.203,Temperature,A. media,Y,0.13784048752090222
A_media,8,SJ,0.0,,0.0,0.032,5.94,8.91,0.98,0.103,Temperature,A. media,Y,0.17888543819998318
A_media,15,SJ,0.0,,0.0,0.078,0.8,8.92,0.99,0.09,Temperature,A. media,Y,0.2792848008753788
A_media,4,TSB,0.0,,0.0,0.025,13.08,8.64,0.99,0.049,Temperature,A. media,Y,0.15811388300841897
A_media,8,TSB,0.0,,0.0,0.051,5.17,8.79,0.99,0.071,Temperature,A. media,Y,0.22583179581272428
A_media,15,TSB,0.0,,0.0,0.091,4.36,9.03,0.97,0.133,Temperature,A. media,Y,0.30166206257996714
A_bestiarum,4,SJ,0.0,,0.0,0.021,14.14,8.95,0.98,0.111,Temperature,A. bestiarum,Y,0.14491376746189438
A_bestiarum,8,SJ,0.0,,0.0,0.03,1.13,9.0,0.98,0.12,Temperature,A. bestiarum,Y,0.17320508075688773
A_bestiarum,15,SJ,0.0,,0.0,0.075,0.69,9.12,0.99,0.065,Temperature,A. bestiarum,Y,0.27386127875258304
A_bestiarum,4,TSB,0.0,,0.0,0.026,9.03,8.9,0.99,0.078,Temperature,A. bestiarum,Y,0.161245154965971
A_bestiarum,8,TSB,0.0,,0.0,0.045,3.46,9.1,0.99,0.062,Temperature,A. bestiarum,Y,0.21213203435596426
A_bestiarum,15,TSB,0.0,,0.0,0.082,1.49,9.12,0.99,0.059,Temperature,A. bestiarum,Y,0.2863564212655271
A_piscicola,4,SJ,0.0,,0.0,0.019,18.11,8.87,0.99,0.082,Temperature,A. piscicola,Y,0.13784048752090222
A_piscicola,8,SJ,0.0,,0.0,0.026,2.04,8.9,0.99,0.069,Temperature,A. piscicola,Y,0.161245154965971
A_piscicola,15,SJ,0.0,,0.0,0.057,0.0,9.03,0.97,0.137,Temperature,A. piscicola,NL,0.23874672772626646
A_piscicola,4,TSB,0.0,,0.0,0.026,9.88,8.91,0.99,0.066,Temperature,A. piscicola,Y,0.161245154965971
