model,target,held_out_strain,n_test,R2,MAE,RMSE
RandomForest,mu_max,A_bestiarum,17,0.8680008285666749,0.005800250581290998,0.007110669471853922
RandomForest,mu_max,A_caviae,9,0.9416280585760882,0.004237193340644557,0.0050191808985687
RandomForest,mu_max,A_dhakensis,9,0.810232185494457,0.01183871634080116,0.013876952773759653
RandomForest,mu_max,A_hydrophila,10,0.9406289261606049,0.004964577985580311,0.005526827641570741
RandomForest,mu_max,A_media,17,0.8506230951024991,0.007007381161096539,0.008398748663833281
RandomForest,mu_max,A_piscicola,19,0.8758944938523907,0.005417093073625303,0.007158267345429752
RandomForest,mu_max,A_salmonicida_Nr21,18,0.888278147598032,0.004678223705630037,0.005945003791348641
RandomForest,mu_max,A_salmonicida_SU2,19,0.7972213164089734,0.006368802744546168,0.008405896915480876
XGBoost,mu_max,A_bestiarum,17,0.8817777756151961,0.0050690488902961515,0.0067293706907934564
XGBoost,mu_max,A_caviae,9,0.9196374406367935,0.004872208757532968,0.005889218387237808
XGBoost,mu_max,A_dhakensis,9,0.7363519136875701,0.013715085508094894,0.016356679498872793
XGBoost,mu_max,A_hydrophila,10,0.8690991297968359,0.006653579676151275,0.008206533294322634
XGBoost,mu_max,A_media,17,0.8500252098248551,0.007167849728289773,0.008415539992950506
XGBoost,mu_max,A_piscicola,19,0.8248757231574416,0.006203543143837076,0.008503262118597282
XGBoost,mu_max,A_salmonicida_Nr21,18,0.8779929814081009,0.004974208344188001,0.006212629854224247
XGBoost,mu_max,A_salmonicida_SU2,19,0.7529301526239842,0.0067233252282205384,0.00927860706918809
GPR,mu_max,A_bestiarum,17,0.898218215440339,0.004795893941056349,0.0062439572312536565
GPR,mu_max,A_caviae,9,0.8579293121811645,0.006898004711732359,0.007830383293813605
GPR,mu_max,A_dhakensis,9,0.8226031107160023,0.012652649176837024,0.013417012745289197
GPR,mu_max,A_hydrophila,10,0.9266086406201011,0.0054152475418258305,0.006144845033633004
GPR,mu_max,A_media,17,0.8946321603982645,0.0056290638040455265,0.00705386095315635
GPR,mu_max,A_piscicola,19,0.9365651381680212,0.004148036369269074,0.005117718435351424
GPR,mu_max,A_salmonicida_Nr21,18,0.9292040803654709,0.0036431809011425453,0.004732462548611807
GPR,mu_max,A_salmonicida_SU2,19,0.8694738138877218,0.004611429958481643,0.006744064796679842
RandomForest,lag_h,A_bestiarum,17,-1.382760631606358,11.229421902899883,20.20545624354766
RandomForest,lag_h,A_caviae,9,0.2858167952203432,9.083711258371922,16.583940313365964
